Nom	Reacteur	Compartiment	Date
170517_4A	4	anode	17/05/2017
170517_4C	4	cathode	17/05/2017
170517_5A	5	anode	17/05/2017
170517_5C	5	cathode	17/05/2017
170517_6A	6	anode	17/05/2017
170517_6C	6	cathode	17/05/2017
170517_7A	7	anode	17/05/2017
170517_7C	7	cathode	17/05/2017
170517_8A	8	anode	17/05/2017
170517_8C	8	cathode	17/05/2017
170517_9A	9	anode	17/05/2017
170517_9C	9	cathode	17/05/2017
170517_10A	10	anode	17/05/2017
170517_10C	10	cathode	17/05/2017
170517_11A	11	anode	17/05/2017
170517_11C	11	cathode	17/05/2017
170517_12A	12	anode	17/05/2017
170517_12C	12	cathode	17/05/2017
